id,value,deathSeason,deathEpisode,dead
 , , , ,
 .Sansa Stark.Ramsay Bolton.Adrack Humble,371,4,8,1
 .Aemon,1,5,7,1
 .Sansa Stark.Ramsay Bolton.Aggar,3,2,10,1
 .Daario Naharis.Akho,5,6,4,1
 .Jon Snow.Alliser Thorne,833,6,3,1
 .Jaime Lannister.Alton Lannister,448,2,7,1
 .Jaqen H'ghar.Amory Lorch,485,2,6,1
 .Tyene Sand.Areo Hotah,368,6,1,1
 .Unnamed Characters.Aron Santagar,701,2,6,1
 .Olenna Tyrell.Joffrey Baratheon.Eddard Stark.Arthur Dayne,179,6,3,1
 .Arya Stark,738,0,0,0
 .Melisandre.Axell Florent,242,4,2,1
 .Euron Greyjoy.Balon Greyjoy,328,6,2,1
 .White Walkers.Bannen,33,3,4,1
 .Unnamed Characters.Baratheon General,35,5,10,1
 .Tyrion Lannister.Baratheon officer,36,2,9,1
 .Unnamed Characters.Baratheon soldier,37,5,10,1
 .Sansa Stark.Ramsay Bolton.Baratheon soldier (Mother's Mercy),38,5,10,1
 .Jon Snow.Janos Slynt.Barra,57,2,1,1
 .Sons of the Harpy.Barristan Selmy,708,2,1,1
 .Grey Worm.Belicho Paenymion,619,6,9,1
 .Sansa Stark.Ramsay Bolton.Dagmer.Billy,68,2,7,1
 .Sandor Clegane.Biter,69,4,7,1
 .Wildlings.Borba,91,2,6,1
 .Jon Snow.Bowen Marsh,519,6,3,1
 .Brienne of Tarth,106,0,0,0
 .Bronn,107,0,0,0
 .Daenerys Targaryen.Brozho,112,6,4,1
 .Unnamed Characters.Brynden Tully,851,6,8,1
 .Tyene Sand.Caleotte,118,6,1,1
 .Arya Stark.Walder Rivers.Catelyn Stark,743,3,9,1
 .Wights.Summer.Catspaw assassin,129,1,2,1
 .Cersei Lannister,449,0,0,0
 .Unnamed Characters.Mag Mar Tun Doh Weg.Cooper,151,4,9,1
 .Daenerys Targaryen.Pyat Pree.Copper King,152,2,7,1
 .Jon Snow.Karl Tanner.Craster,159,3,4,1
 .Cressen,165,2,1,1
 .Daario Naharis,577,0,0,0
 .Daenerys Targaryen,792,0,0,0
 .Sansa Stark.Ramsay Bolton.Dagmer,171,2,10,1
 .Despondent man,184,5,3,1
 .Unnamed Characters.Dongo,189,4,9,1
 .Unnamed Characters.Mag Mar Tun Doh Weg.Donnel Hill,190,4,9,1
 .Petyr Baelish.Dontos Hollard,364,4,3,1
 .Ellaria Sand.Doran Martell,520,6,1,1
 .Daenerys Targaryen.Doreah,192,2,10,1
 .Sansa Stark.Ramsay Bolton.Osha.Drennan,197,2,6,1
 .Daenerys Targaryen.Mirri Maz Duur.Drogo,198,1,10,1
 .Drogon,199,0,0,0
 .Dwarf hunter 2.Dwarf 1,208,5,2,1
 .Dwarf hunter 2,214,0,0,0
 .Sandor Clegane.Dying man,216,4,7,1
 .Olenna Tyrell.Joffrey Baratheon.Eddard Stark,745,1,9,1
 .Edric Baratheon,42,0,0,1
 .Ellaria Sand,693,0,0,0
 .Brienne of Tarth.Emmon Cuy,167,2,5,1
 .Euron Greyjoy,329,0,0,0
 .Daenerys Targaryen.Forzho,256,6,4,1
 .Arya Stark.Frey soldier 1,260,3,10,1
 .Sandor Clegane.Frey soldier 2,261,3,10,1
 .Unnamed Characters.Fury gunnery officer,283,2,9,1
 .Unnamed Characters.Galbart Glover,303,6,7,1
 .White Walkers.Gared,286,1,1,1
 .Sandor Clegane.Gatins,288,6,8,1
 .Sansa Stark.Ramsay Bolton.Gelmarr,291,2,10,1
 .Olenna Tyrell.Joffrey Baratheon.Eddard Stark.Gerold Hightower,357,6,3,1
 .Ghita,298,5,6,1
 .Ghost,299,0,0,0
 .Brienne of Tarth.Stannis Baratheon.Gordy,313,5,10,1
 .Unnamed Characters.Great Master 1 (Breaker of Chains),315,4,4,1
 .Viserion.Great Master 1 (Kill the Boy),316,5,5,1
 .Unnamed Characters.Great Master 2 (Breaker of Chains),317,4,3,1
 .Gregor Clegane,143,0,0,0
 .Unnamed Characters.Greizhen mo Ullhor,874,3,4,1
 .Unnamed Characters.Mag Mar Tun Doh Weg.Grenn,322,4,9,1
 .Unnamed Characters.Grey Wind,324,3,9,1
 .Grey Worm,325,0,0,0
 .Jon Snow.Olly.Ygritte.Guymon,339,4,3,1
 .Daenerys Targaryen.Mirri Maz Duur.Drogo.Haggo,341,1,9,1
 .Wildlings.Harker,345,2,6,1
 .Unnamed Characters.Heward,350,1,5,1
 .Unnamed Characters.High Septon (Before the riot of King's Landing),354,2,6,1
 .Cersei Lannister.High Sparrow,355,6,10,1
 .Sons of the Harpy.Hizdahr zo Loraq,484,5,9,1
 .Wights.Hodor,362,6,5,1
 .Hoster Tully,854,3,3,1
 .Gregor Clegane.Hugh,369,1,4,1
 .Daario Naharis.Iggo,373,6,4,1
 .Daenerys Targaryen.Doreah.Irri,379,2,6,1
 .Sansa Stark.Ramsay Bolton.Dagmer.Jack,381,2,7,1
 .Wildlings.Jack Bulwer,117,4,8,1
 .Wights.Jafer Flowers,244,1,8,1
 .Jaime Lannister,451,0,0,0
 .Jon Snow.Janos Slynt,723,5,3,1
 .Jaqen H'ghar,340,0,0,0
 .Unnamed Characters.Jaremy Mallister,510,3,1,1
 .Ghost.Rast.Jeor Mormont,555,3,4,1
 .Olenna Tyrell.Joffrey Baratheon,34,4,2,1
 .Wights.Jojen Reed,661,4,10,1
 .Petyr Baelish.Lysa Arryn.Jon Arryn,15,1,1,1
 .Jon Snow,390,0,0,0
 .Unnamed Characters.Jon Umber,879,6,3,1
 .Jorah Mormont,556,0,0,0
 .Jaime Lannister.Jory Cassel,127,1,5,1
 .Arya Stark.Walder Rivers.Catelyn Stark.Joyeuse Erenford,226,3,9,1
 .Jon Snow.Karl Tanner,774,4,5,1
 .Wights.Karsi,399,5,8,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Karstark lookout,401,3,5,1
 .Wildlings.Kegs,415,4,8,1
 .Cersei Lannister.Kevan Lannister,453,6,10,1
 .Gregor Clegane.King's Landing boaster,421,6,2,1
 .Sandor Clegane.King's Landing rioter 1,422,2,6,1
 .Drogon.Kraznys mo Nakloz,579,4,4,1
 .Unnamed Characters.Kurleket,431,1,5,1
 .Olenna Tyrell.Joffrey Baratheon.Eddard Stark.Lady,433,1,2,1
 .Arya Stark.Waif.Lady Crane,434,6,8,1
 .Cersei Lannister.Lancel,454,6,10,1
 .Unnamed Characters.Grey Wind.Lannister guardsman (Garden of Bones),441,2,4,1
 .Bronn.Lead Dornish guard,469,5,4,1
 .Wights.Leaf,471,6,5,1
 .Sandor Clegane.Lem,473,6,8,1
 .Little birds,478,0,0,0
 .Jon Snow.White Walker (Hardhome).Loboda,479,5,8,1
 .Wights.Hodor.Locke,481,4,5,1
 .Arya Stark.Polliver.Lommy,483,2,3,1
 .Cersei Lannister.Loras,865,6,10,1
 .Tormund.Lord of Bones,486,5,8,1
 .Sansa Stark.Ramsay Bolton.Lorren,489,2,10,1
 .Arya Stark.Lothar Frey,257,6,10,1
 .Sandor Clegane.Lowell,491,4,1,1
 .Sansa Stark.Ramsay Bolton.Osha.Luwin,497,2,10,1
 .Lyanna Stark,747,6,10,1
 .Petyr Baelish.Lysa Arryn,16,4,7,1
 .Cersei Lannister.Mace Tyrell,868,6,10,1
 .Unnamed Characters.Maege Mormont,558,1,10,1
 .Unnamed Characters.Mag Mar Tun Doh Weg,501,4,9,1
 .Daenerys Targaryen.Mirri Maz Duur.Drogo.Mago,503,1,8,1
 .Jon Snow.Mance Rayder,651,5,1,1
 .Podrick Payne.Mandon Moore,547,2,9,1
 .Cersei Lannister.Margaery Tyrell,869,6,10,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Rickard Karstark.Martyn Lannister,457,3,5,1
 .Sansa Stark.Ramsay Bolton.Master Torturer,528,3,3,1
 .Unnamed Characters.Matthos Seaworth,706,2,9,1
 .Meera Reed,662,0,0,0
 .Melisandre,534,0,0,0
 .Obara Sand.Merchant captain,535,5,4,1
 .Daario Naharis.Mero,536,3,8,1
 .Arya Stark.Meryn Trant,849,5,10,1
 .Daenerys Targaryen.Mirri Maz Duur,207,1,10,1
 .Jon Snow.Olly.Ygritte.Mole's Town whore,545,4,8,1
 .Unnamed Characters.Mordane,551,1,8,1
 .Sandor Clegane.Morgan,552,6,8,1
 .Daenerys Targaryen.Moro,559,6,4,1
 .Daenerys Targaryen.Moro's bloodrider 1,560,6,4,1
 .Daenerys Targaryen.Moro's bloodrider 2,561,6,4,1
 .Daenerys Targaryen.Mossador,564,5,2,1
 .Wildlings.Mully,566,4,8,1
 .Sandor Clegane.Mycah,574,1,2,1
 .Theon Greyjoy.Myranda,576,5,10,1
 .Ellaria Sand.Myrcella Baratheon,46,5,10,1
 .Sansa Stark.Ramsay Bolton.Newborn Bolton,81,6,2,1
 .Night King,585,0,0,0
 .Obara Sand,696,0,0,0
 .Gregor Clegane.Oberyn Martell,526,4,8,1
 .Jon Snow.Olly.Ygritte.Old man,604,3,9,1
 .Old Nan,581,2,1,1
 .Sansa Stark.Ramsay Bolton.Old woman,605,5,7,1
 .Olenna Tyrell,870,0,0,0
 .Jon Snow.Olly,607,6,3,1
 .Jon Snow.Styr.Olly's mother,608,4,3,1
 .Sansa Stark.Ramsay Bolton.Osha,617,6,4,1
 .Jon Snow.Othell Yarwyck,949,6,3,1
 .Wights.Othor,618,1,8,1
 .Daario Naharis.Oznak zo Pahl,620,4,3,1
 .Petyr Baelish,30,0,0,0
 .Petyr Baratheon,48,0,0,1
 .Podrick Payne,623,0,0,0
 .Arya Stark.Polliver,627,4,1,1
 .Daario Naharis.Prendahl na Ghezn,297,3,8,1
 .Daenerys Targaryen.Pyat Pree,632,2,10,1
 .Little birds.Pycelle,635,6,10,1
 .Jon Snow.Olly.Ygritte.Pypar,637,4,9,1
 .Jon Snow.Qhorin,343,2,10,1
 .Jorah Mormont.Qotho,641,1,9,1
 .Unnamed Characters.Rakharo,646,2,2,1
 .Sansa Stark.Ramsay Bolton.Adrack Humble.Ralf Kenning,416,4,8,1
 .Sansa Stark.Ramsay Bolton,88,6,9,1
 .Ghost.Rast,648,4,5,1
 .Sandor Clegane.Lem.Ray,650,6,7,1
 .Grey Worm.Razdal mo Eraz,224,6,9,1
 .Melisandre.Renly Baratheon,49,2,5,1
 .Unnamed Characters.Grey Wind.Rennick,663,2,4,1
 .Daenerys Targaryen.Mirri Maz Duur.Rhaego,665,1,10,1
 .Daenerys Targaryen.Rhalko,666,6,4,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Rickard Karstark,412,3,5,1
 .Sansa Stark.Ramsay Bolton.Rickon Stark,749,6,9,1
 .Sandor Clegane.Riddell,669,6,8,1
 .Brienne of Tarth.Robar Royce,683,2,5,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark,750,3,9,1
 .Cersei Lannister.Robert Baratheon,50,1,7,1
 .Theon Greyjoy.Rodrik Cassel,128,2,6,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton,82,6,2,1
 .Arya Stark.Rorge,677,4,7,1
 .Olenna Tyrell.Joffrey Baratheon.Ros,678,3,6,1
 .Samwell Tarly,816,0,0,0
 .Sandor Clegane,144,0,0,0
 .Sansa Stark,752,0,0,0
 .Sons of the Harpy.Second Son,707,5,4,1
 .Selyse Baratheon,51,5,10,1
 .Tyrion Lannister.Shae,713,4,10,1
 .Tormund.Smalljon Umber.Shaggydog,715,6,3,1
 .Melisandre.Shireen Baratheon,52,5,9,1
 .Daenerys Targaryen.Pyat Pree.Silk King,717,2,7,1
 .Brienne of Tarth.Stannis Baratheon.Simpson,719,5,10,1
 .Tormund.Smalljon Umber,883,6,9,1
 .Wildlings.Smitty,725,4,9,1
 .Daenerys Targaryen.Mossador.Son of the Harpy,726,5,2,1
 .Sons of the Harpy,983,0,0,0
 .Daenerys Targaryen.Pyat Pree.Spice King,728,2,7,1
 .Arya Stark.Stableboy,729,1,8,1
 .Brienne of Tarth.Stannis Baratheon,53,5,10,1
 .Brienne of Tarth.Stark soldier (Valar Morghulis),737,2,10,1
 .Sandor Clegane.Steve,756,6,8,1
 .Theon Greyjoy.Stiv,758,1,6,1
 .Wildlings.Stonesnake,763,2,6,1
 .Sansa Stark.Ramsay Bolton.Stygg,766,2,10,1
 .Jon Snow.Styr,767,4,9,1
 .Wights.Summer,984,6,5,1
 .Arya Stark.Lothar Frey.Talisa Stark,753,3,9,1
 .Sansa Stark.Ramsay Bolton.Tansy,776,4,2,1
 .Jaqen H'ghar.The Tickler,836,2,5,1
 .Samwell Tarly.Thenn warg,826,4,9,1
 .Theon Greyjoy,332,0,0,0
 .Daenerys Targaryen.Pyat Pree.Thirteen member,832,2,7,1
 .Night King.Three-eyed raven,835,6,5,1
 .Brienne of Tarth.Tom,840,2,10,1
 .Tommard Baratheon,55,0,0,1
 .Tommen Baratheon,56,6,10,1
 .Tormund,843,0,0,0
 .Jaime Lannister.Torrhen Karstark,413,2,7,1
 .Jaqen H'ghar.The Tickler.Tortured prisoner,844,2,4,1
 .Obara Sand.Trystane Martell,527,6,1,1
 .Tyene Sand,699,0,0,0
 .Tyrion Lannister,461,0,0,0
 .Tyrion Lannister.Tywin Lannister,463,4,10,1
 .Unnamed Characters,978,0,0,0
 .Sansa Stark.Ramsay Bolton.Urzen,890,2,10,1
 .Bronn.Vardis Egen,219,1,6,1
 .Unnamed Characters.Varly,893,1,7,1
 .Unnamed Characters.Vayon Poole,630,1,8,1
 .Sansa Stark.Ramsay Bolton.Violet,897,5,6,1
 .Viserion,898,0,0,0
 .Daenerys Targaryen.Mirri Maz Duur.Drogo.Viserys Targaryen,810,1,6,1
 .Arya Stark.Waif,901,6,8,1
 .Sansa Stark.Ramsay Bolton.Walda Bolton,90,6,2,1
 .Arya Stark.Walder Frey,277,6,10,1
 .Arya Stark.Walder Rivers,278,6,10,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Wallen,903,1,6,1
 .White Walkers.Waymar Royce,684,1,1,1
 .Unnamed Characters.Wendel Manderly,512,3,9,1
 .Sansa Stark.Ramsay Bolton.Wex,909,2,10,1
 .Sons of the Harpy.White Rat,912,5,1,1
 .Jon Snow.White Walker (Hardhome),913,5,8,1
 .Meera Reed.White Walker (The Door),915,6,5,1
 .Samwell Tarly.White Walker (Valar Morghulis),917,3,8,1
 .White Walkers,982,0,0,0
 .Wights,980,0,0,0
 .Wights.Wildling girl,933,1,1,1
 .Wildlings,981,0,0,0
 .Olenna Tyrell.Joffrey Baratheon.Eddard Stark.Will,934,1,1,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Rickard Karstark.Willem Lannister,464,3,5,1
 .Unnamed Characters.Willis Wode,941,2,5,1
 .Daenerys Targaryen.Wineseller,938,1,7,1
 .Sansa Stark.Ramsay Bolton.Dagmer.Winterfell shepherd,939,2,7,1
 .Sansa Stark.Ramsay Bolton.Wun Weg Wun Dar Wun,944,6,9,1
 .Unnamed Characters.Wyl (House Stark),945,1,5,1
 .Daenerys Targaryen.Xaro Xhoan Daxos,948,2,10,1
 .Jon Snow.Olly.Ygritte,950,4,9,1
 .Jaqen H'ghar.Amory Lorch.Yoren,951,2,3,1
 .Drogon.Zalla,961,4,10,1
