id,value,deathSeason,deathEpisode,dead,appearances
 , , , , ,
 .Aemon,1,5,7,1,11
 .Arya Stark,738,0,0,0,47
 .Arya Stark.Frey soldier 1,260,3,10,1,1
 .Arya Stark.Ghita,298,5,6,1,2
 .Arya Stark.Lothar Frey,257,6,10,1,6
 .Arya Stark.Lothar Frey.Talisa Stark,753,3,9,1,11
 .Arya Stark.Meryn Trant,849,5,10,1,18
 .Arya Stark.Meryn Trant.Syrio Forel?,246,1,8,1,3
 .Arya Stark.Night King,585,8,3,1,10
 .Arya Stark.Night King.Theon Greyjoy,332,8,3,1,39
 .Arya Stark.Night King.Theon Greyjoy.Myranda,576,5,10,1,8
 .Arya Stark.Night King.Theon Greyjoy.Rodrik Cassel,128,2,6,1,15
 .Arya Stark.Night King.Theon Greyjoy.Rodrik Cassel.Unnamed Hill tribesman,0,1,5,1,1
 .Arya Stark.Night King.Theon Greyjoy.Stiv,758,1,6,1,1
 .Arya Stark.Night King.Theon Greyjoy.Unnamed Bolten man,0,6,1,1,1
 .Arya Stark.Night King.Theon Greyjoy.Unnamed Greyjoy men,0,7,2,1,1
 .Arya Stark.Night King.Theon Greyjoy.Unnamed Ironborn crew of The Silence,0,8,1,1,1
 .Arya Stark.Night King.Theon Greyjoy.Wights,0,8,3,1,1
 .Arya Stark.Night King.Three-eyed raven,835,6,5,1,10
 .Arya Stark.Night King.Viserion,898,7,6,1,21
 .Arya Stark.Night King.Viserion.Great Master,316,5,5,1,1
 .Arya Stark.Night King.Viserion.Unnamed Nights Watch,0,7,7,1,1
 .Arya Stark.Night King.Viserion.Unnamed Slaver's fleet,0,6,9,1,1
 .Arya Stark.Night King.Viserion.Unnamed Wildlings,0,7,7,1,1
 .Arya Stark.Night King.Viserion.Wights,0,7,6,1,1
 .Arya Stark.Petyr Baelish,30,7,7,1,41
 .Arya Stark.Petyr Baelish.Dontos Hollard,364,4,3,1,6
 .Arya Stark.Petyr Baelish.Lysa Arryn,16,4,7,1,5
 .Arya Stark.Petyr Baelish.Lysa Arryn.Jon Arryn,15,1,1,1,1
 .Arya Stark.Polliver,627,4,1,1,3
 .Arya Stark.Polliver.Lommy,483,2,3,1,4
 .Arya Stark.Rorge,677,4,7,1,5
 .Arya Stark.Stableboy,729,1,8,1,1
 .Arya Stark.Unnamed Frey men,0,7,1,1,1
 .Arya Stark.Unnamed Lannister man,0,4,1,1,1
 .Arya Stark.Waif,901,6,8,1,11
 .Arya Stark.Waif.Lady Crane,434,6,8,1,3
 .Arya Stark.Walder Frey,277,6,10,1,5
 .Arya Stark.Walder Rivers,278,6,10,1,6
 .Arya Stark.Walder Rivers.Catelyn Stark,743,3,9,1,25
 .Arya Stark.Walder Rivers.Catelyn Stark.Joyeuse Erenford,226,3,9,1,2
 .Arya Stark.Wights,1024,8,3,1,20
 .Arya Stark.Wights.Benjen Stark,739,7,6,1,8
 .Arya Stark.Wights.Benjen Stark.Wights,0,6,6,1,1
 .Arya Stark.Wights.Benjen Stark.Wights,0,7,6,1,1
 .Arya Stark.Wights.Beric Dondarrion,188,8,3,1,12
 .Arya Stark.Wights.Beric Dondarrion.Unnamed outlaw,0,6,8,1,1
 .Arya Stark.Wights.Beric Dondarrion.Wights,0,7,6,1,1
 .Arya Stark.Wights.Beric Dondarrion.Ned Umber,1019,8,1,1,3
 .Arya Stark.Wights.Beric Dondarrion.Wights,0,8,3,1,1
 .Arya Stark.Wights.Child of the Forest,1012,6,5,1,1
 .Arya Stark.Wights.Child of the Forest,1013,6,5,1,1
 .Arya Stark.Wights.Eddison Tollett,839,8,3,1,32
 .Arya Stark.Wights.Eddison Tollett.Nights Watch betrayer,0,4,5,1,1
 .Arya Stark.Wights.Eddison Tollett.Wights,0,8,3,1,1
 .Arya Stark.Wights.Hodor,362,6,5,1,23
 .Arya Stark.Wights.Hodor.Locke,481,4,5,1,8
 .Arya Stark.Wights.Hodor.Locke.Night's Watch betrayers,0,4,5,1,1
 .Arya Stark.Wights.Hodor.Wights,0,4,10,1,1
 .Arya Stark.Wights.Jafer Flowers,244,1,8,1,1
 .Arya Stark.Wights.Jojen Reed,661,4,10,1,10
 .Arya Stark.Wights.Jorah Mormont,556,8,3,1,53
 .Arya Stark.Wights.Jorah Mormont.Meereenese Champion,1002,5,9,1,1
 .Arya Stark.Wights.Jorah Mormont.Meereenese Champion.Water Dancer,1014,5,9,1,1
 .Arya Stark.Wights.Jorah Mormont.Meereenese Champion.Pit Fighter,1004,5,9,1,1
 .Arya Stark.Wights.Jorah Mormont.Norvoshi pit fighter,1003,5,9,1,1
 .Arya Stark.Wights.Jorah Mormont.Qotho,641,1,9,1,6
 .Arya Stark.Wights.Jorah Mormont.Sons of the Harpy,0,5,9,1,1
 .Arya Stark.Wights.Jorah Mormont.Stone men,0,5,5,1,1
 .Arya Stark.Wights.Jorah Mormont.Wight Snow Bear,0,7,6,1,1
 .Arya Stark.Wights.Jorah Mormont.Wight Snow Bear.Thoros,834,7,6,1,10
 .Arya Stark.Wights.Jorah Mormont.Wight Snow Bear.Unnamed wight hunters,0,7,6,1,1
 .Arya Stark.Wights.Jorah Mormont.Wights,0,7,6,1,1
 .Arya Stark.Wights.Jorah Mormont.Wights,0,8,3,1,1
 .Arya Stark.Wights.Jorah Mormont.Yunkai soldiers,0,3,9,1,1
 .Arya Stark.Wights.Karsi,399,5,8,1,2
 .Arya Stark.Wights.Karsi.Wights,0,5,8,1,1
 .Arya Stark.Wights.Leaf,471,6,5,1,5
 .Arya Stark.Wights.Leaf.Wights,0,4,10,1,1
 .Arya Stark.Wights.Leaf.Wights,0,6,5,1,1
 .Arya Stark.Wights.Othor,618,1,8,1,1
 .Arya Stark.Wights.Summer,984,6,5,1,15
 .Arya Stark.Wights.Summer.Catspaw assassin,129,1,2,1,1
 .Arya Stark.Wights.Summer.Unnamed Wildling,0,3,9,1,1
 .Arya Stark.Wights.Summer.Wight,0,6,5,1,1
 .Arya Stark.Wights.Summer.Wights,0,4,10,1,1
 .Arya Stark.Wights.Wildling girl,933,1,1,1,2
 .Arya Stark.Wights.Lyanna Mormont,1021,8,3,1,8
 .Arya Stark.Wights.Lyanna Mormont.Wight Giant,1020,8,3,1,1
 .Arya Stark.Wights.Lyanna Mormont.Wight Giant.Mormont soldiers,0,8,3,1,1
 .Arya Stark.Wights.Alys Karstark,1023,8,3,1,5
 .Arya Stark.Wights.Alys Karstark.Wights,0,8,3,1,1
 .Arya Stark.Wights.Qhono,1022,8,3,1,10
 .Bannen,33,3,4,1,0
 .Brienne of Tarth,106,0,0,0,32
 .Brienne of Tarth.Bolton Officer,1010,6,1,1,1
 .Brienne of Tarth.Emmon Cuy,167,2,5,1,1
 .Brienne of Tarth.Robar Royce,683,2,5,1,1
 .Brienne of Tarth.Stannis Baratheon,53,5,10,1,24
 .Brienne of Tarth.Stannis Baratheon.Gordy,313,5,10,1,0
 .Brienne of Tarth.Stannis Baratheon.Simpson,719,5,10,1,1
 .Brienne of Tarth.Stannis Baratheon.Unnamed Lannister men,0,2,9,1,1
 .Brienne of Tarth.Stark soldier,737,2,10,1,1
 .Brienne of Tarth.Tom,840,2,10,1,1
 .Brienne of Tarth.Unnamed Bolten men,0,6,1,1,1
 .Brienne of Tarth.Unnamed Vale men,0,5,2,1,1
 .Bronn,107,0,0,0,29
 .Bronn.Dornish guards,0,5,4,1,1
 .Bronn.Lead Dornish guard,469,5,4,1,1
 .Bronn.Matthos Seaworth,706,2,9,1,4
 .Bronn.Unnamed Baratheon men,0,2,9,1,1
 .Bronn.Unnamed Hill tribesmen,0,1,5,1,1
 .Bronn.Vardis Egen,219,1,6,1,2
 .Bronn.Unnamed Dothraki,0,7,4,1,1
 .Cersei Lannister,449,0,0,0,52
 .Cersei Lannister.Boake,1016,6,10,1,5
 .Cersei Lannister.High Sparrow,355,6,10,1,12
 .Cersei Lannister.Kevan Lannister,453,6,10,1,12
 .Cersei Lannister.Lancel,454,6,10,1,16
 .Cersei Lannister.Lancel.Unknown Baratheon man,0,2,9,1,1
 .Cersei Lannister.Loras,865,6,10,1,20
 .Cersei Lannister.Loras.Unnamed Baratheon men,0,2,9,1,1
 .Cersei Lannister.Mace Tyrell,868,6,10,1,13
 .Cersei Lannister.Margaery Tyrell,869,6,10,1,26
