name,value,continent
Kosovo,12.50,Europe
Independent Olympic Athletes,11.11,
United States,4.73,North America
Vietnam,4.35,Asia
Great Britain & N. Ireland,4.10,Europe
Singapore,4.00,Asia
Thailand,3.77,Asia
China,3.75,Asia
Jamaica,3.39,North America
Russia,3.27,Europe
Iran,3.23,Asia
North Korea,3.23,Asia
Hungary,3.21,Europe
South Korea,2.93,Asia
Ethiopia,2.63,Africa
Puerto Rico,2.38,North America
Italy,2.31,Europe
Croatia,2.27,Europe
Japan,2.07,Asia
Slovakia,2.04,Europe
Switzerland,2.00,Europe
Fiji,1.96,Oceania
Germany,1.90,Europe
Kazakhstan,1.90,Asia
Belgium,1.89,Europe
France,1.77,Europe
Chinese Taipei,1.69,Asia
Netherlands,1.67,Europe
Slovenia,1.61,Europe
Uzbekistan,1.45,Asia
Australia,1.43,Oceania
Colombia,1.36,South America
Kenya,1.25,Africa
Greece,1.06,Europe
Romania,1.02,Europe
New Zealand,1.01,Oceania
Czech Republic,0.99,Europe
Spain,0.99,Europe
Cuba,0.87,North America
Belarus,0.83,Europe
Denmark,0.81,Europe
South Africa,0.74,Africa
Canada,0.65,North America
Sweden,0.65,Europe
Argentina,0.47,South America
Poland,0.41,Europe
Brazil,0.21,South America
Afghanistan,0.00,Asia
Albania,0.00,Europe
Algeria,0.00,Africa
American Samoa,0.00,Oceania
Andorra,0.00,Europe
Angola,0.00,Africa
Antigua & Barbuda,0.00,North America
Armenia,0.00,Asia
Aruba,0.00,North America
Austria,0.00,Europe
Azerbaijan,0.00,Asia
Bahamas,0.00,North America
Bahrain,0.00,Asia
Bangladesh,0.00,Asia
Barbados,0.00,North America
Belize,0.00,North America
Benin,0.00,Africa
Bermuda,0.00,North America
Bhutan,0.00,Asia
Bolivia,0.00,South America
Bosnia & Herzegovina,0.00,Europe
Botswana,0.00,Africa
British Virgin Islands,0.00,North America
Brunei,0.00,Asia
Bulgaria,0.00,Europe
Burkina Faso,0.00,Africa
Burundi,0.00,Africa
Cambodia,0.00,Asia
Cameroon,0.00,Africa
Cape Verde,0.00,Africa
Cayman Islands,0.00,North America
Central African Republic,0.00,Africa
Chad,0.00,Africa
Chile,0.00,South America
Comoros,0.00,Africa
Congo,0.00,Africa
Cook Islands,0.00,Oceania
Costa Rica,0.00,North America
Cyprus,0.00,Europe
Cote d'Ivoire,0.00,Africa
DR Congo,0.00,Africa
Djibouti,0.00,Africa
Dominica,0.00,North America
Dominican Republic,0.00,North America
Ecuador,0.00,South America
Egypt,0.00,Africa
El Salvador,0.00,North America
Equatorial Guinea,0.00,Africa
Eritrea,0.00,Africa
Estonia,0.00,Europe
FYR Macedonia,0.00,Europe
Federated States of Micronesia,0.00,Oceania
Finland,0.00,Europe
Gabon,0.00,Africa
Gambia,0.00,Africa
Georgia,0.00,Europe
Ghana,0.00,Africa
Grenada,0.00,North America
Guam,0.00,Oceania
Guatemala,0.00,North America
Guinea,0.00,Africa
Guinea-Bissau,0.00,Africa
Guyana,0.00,South America
Haiti,0.00,North America
Honduras,0.00,North America
Hong Kong,0.00,Asia
Iceland,0.00,Europe
India,0.00,Asia
Indonesia,0.00,Asia
Iraq,0.00,Asia
Ireland,0.00,Europe
Israel,0.00,Asia
Jordan,0.00,Asia
Kiribati,0.00,Oceania
Kyrgyzstan,0.00,Asia
Laos,0.00,Asia
Latvia,0.00,Europe
Lebanon,0.00,Asia
Lesotho,0.00,Africa
Liberia,0.00,Africa
Libya,0.00,Africa
Liechtenstein,0.00,Europe
Lithuania,0.00,Europe
Luxembourg,0.00,Europe
Madagascar,0.00,Africa
Malawi,0.00,Africa
Malaysia,0.00,Asia
Maldives,0.00,Asia
Mali,0.00,Africa
Malta,0.00,Europe
Marshall Islands,0.00,Oceania
Mauritania,0.00,Africa
Mauritius,0.00,Africa
Mexico,0.00,North America
Moldova,0.00,Europe
Monaco,0.00,Europe
Mongolia,0.00,Asia
Montenegro,0.00,Europe
Morocco,0.00,Africa
Mozambique,0.00,Africa
Myanmar,0.00,Asia
Namibia,0.00,Africa
Nauru,0.00,Oceania
Nepal,0.00,Asia
Nicaragua,0.00,North America
Niger,0.00,Africa
Nigeria,0.00,Africa
Norway,0.00,Europe
Oman,0.00,Asia
Pakistan,0.00,Asia
Palau,0.00,Oceania
Palestine,0.00,Asia
Panama,0.00,North America
Papua New Guinea,0.00,Oceania
Paraguay,0.00,South America
Peru,0.00,South America
Philippines,0.00,Asia
Portugal,0.00,Europe
Qatar,0.00,Asia
Rwanda,0.00,Africa
Saint Kitts & Nevis,0.00,North America
Saint Lucia,0.00,North America
Samoa,0.00,Oceania
San Marino,0.00,Europe
Sao Tome & Principe,0.00,Africa
Saudi Arabia,0.00,Asia
Senegal,0.00,Africa
Serbia,0.00,Europe
Seychelles,0.00,Africa
Sierra Leone,0.00,Africa
Solomon Islands,0.00,Oceania
Somalia,0.00,Africa
South Sudan,0.00,Africa
Sri Lanka,0.00,Asia
St Vincent & the Grenadines,0.00,North America
Sudan,0.00,Africa
Suriname,0.00,South America
Swaziland,0.00,Africa
Syria,0.00,Asia
Tajikistan,0.00,Asia
Tanzania,0.00,Africa
Timor-Leste,0.00,Asia
Togo,0.00,Africa
Tonga,0.00,Oceania
Trinidad & Tobago,0.00,North America
Tunisia,0.00,Africa
Turkey,0.00,Asia
Turkmenistan,0.00,Asia
Tuvalu,0.00,Oceania
US Virgin Islands,0.00,North America
Uganda,0.00,Africa
Ukraine,0.00,Europe
United Arab Emirates,0.00,Asia
Uruguay,0.00,South America
Vanuatu,0.00,Oceania
Venezuela,0.00,South America
Yemen,0.00,Asia
Zambia,0.00,Africa
Zimbabwe,0.00,Africa
