name,value,continent
United States,550,North America
Brazil,467,South America
Germany,421,Europe
Australia,419,Oceania
China,400,Asia
France,396,Europe
Great Britain & N. Ireland,366,Europe
Japan,338,Asia
Canada,309,North America
Italy,303,Europe
Spain,303,Europe
Russia,275,Europe
Poland,243,Europe
Netherlands,239,Europe
Argentina,215,South America
South Korea,205,Asia
New Zealand,199,Oceania
Ukraine,199,Europe
Hungary,156,Europe
Sweden,154,Europe
Colombia,147,South America
South Africa,136,Africa
Mexico,126,North America
Denmark,124,Europe
Belarus,120,Europe
India,120,Asia
Egypt,118,Africa
Cuba,115,North America
Belgium,106,Europe
Kazakhstan,105,Asia
Serbia,104,Europe
Turkey,102,Asia
Czech Republic,101,Europe
Switzerland,100,Europe
Romania,98,Europe
Greece,94,Europe
Portugal,93,Europe
Croatia,88,Europe
Venezuela,86,South America
Kenya,80,Africa
Ireland,77,Europe
Nigeria,75,Africa
Uzbekistan,69,Asia
Austria,66,Europe
Lithuania,66,Europe
Algeria,64,Africa
Iran,62,Asia
Slovenia,62,Europe
Tunisia,60,Africa
Chinese Taipei,59,Asia
Jamaica,59,North America
Norway,59,Europe
Azerbaijan,55,Asia
Finland,55,Europe
Thailand,53,Asia
Bulgaria,51,Europe
Fiji,51,Oceania
Morocco,49,Africa
Slovakia,49,Europe
Israel,48,Asia
Mongolia,43,Asia
Estonia,42,Europe
Puerto Rico,42,North America
Chile,41,South America
Georgia,40,Europe
Ethiopia,38,Africa
Hong Kong,38,Asia
Ecuador,37,South America
Qatar,37,Asia
Bahrain,35,Asia
Montenegro,35,Europe
Armenia,32,Asia
Bahamas,32,North America
Malaysia,32,Asia
Trinidad & Tobago,32,North America
Latvia,31,Europe
North Korea,31,Asia
Zimbabwe,31,Africa
Peru,29,South America
Indonesia,28,Asia
Dominican Republic,27,North America
Honduras,27,North America
Angola,26,Africa
Singapore,25,Asia
Cameroon,23,Africa
Vietnam,23,Asia
Iraq,22,Asia
Moldova,22,Europe
Guatemala,21,North America
Senegal,21,Africa
Uganda,21,Africa
Kyrgyzstan,18,Asia
Uruguay,17,South America
Cyprus,15,Europe
Ghana,14,Africa
Philippines,14,Asia
Bolivia,12,South America
Cote d'Ivoire,12,Africa
Eritrea,12,Africa
Mauritius,12,Africa
United Arab Emirates,12,Asia
Barbados,11,North America
Congo,11,Africa
Paraguay,11,South America
Bosnia & Herzegovina,10,Europe
Botswana,10,Africa
Costa Rica,10,North America
Haiti,10,North America
Luxembourg,10,Europe
Namibia,10,Africa
Panama,10,North America
Seychelles,10,Africa
Antigua & Barbuda,9,North America
Burundi,9,Africa
Cook Islands,9,Oceania
Independent Olympic Athletes,9,
Saudi Arabia,9,Asia
Sri Lanka,9,Asia
El Salvador,8,North America
Iceland,8,Europe
Jordan,8,Asia
Kosovo,8,Europe
Lebanon,8,Asia
Lesotho,8,Africa
Papua New Guinea,8,Oceania
Rwanda,8,Africa
Samoa,8,Oceania
Turkmenistan,8,Asia
Aruba,7,North America
Bangladesh,7,Asia
Bermuda,7,North America
Djibouti,7,Africa
Libya,7,Africa
Malta,7,Europe
Myanmar,7,Asia
Nepal,7,Asia
Pakistan,7,Asia
Saint Kitts & Nevis,7,North America
Syria,7,Asia
Tajikistan,7,Asia
Tanzania,7,Africa
Tonga,7,Oceania
US Virgin Islands,7,North America
Zambia,7,Africa
Albania,6,Europe
Benin,6,Africa
Cambodia,6,Asia
Central African Republic,6,Africa
FYR Macedonia,6,Europe
Gabon,6,Africa
Grenada,6,North America
Guyana,6,South America
Laos,6,Asia
Madagascar,6,Africa
Mali,6,Africa
Mozambique,6,Africa
Palestine,6,Asia
Sudan,6,Africa
Andorra,5,Europe
Burkina Faso,5,Africa
Cape Verde,5,Africa
Federated States of Micronesia,5,Oceania
Guam,5,Oceania
Guinea,5,Africa
Guinea-Bissau,5,Africa
Malawi,5,Africa
Marshall Islands,5,Oceania
Nicaragua,5,North America
Niger,5,Africa
Palau,5,Oceania
Saint Lucia,5,North America
San Marino,5,Europe
Suriname,5,South America
Togo,5,Africa
American Samoa,4,Oceania
British Virgin Islands,4,North America
Cayman Islands,4,North America
Comoros,4,Africa
DR Congo,4,Africa
Gambia,4,Africa
Maldives,4,Asia
Oman,4,Asia
Sierra Leone,4,Africa
St Vincent & the Grenadines,4,North America
Vanuatu,4,Oceania
Yemen,4,Asia
Afghanistan,3,Asia
Belize,3,North America
Brunei,3,Asia
Kiribati,3,Oceania
Liechtenstein,3,Europe
Monaco,3,Europe
Sao Tome & Principe,3,Africa
Solomon Islands,3,Oceania
South Sudan,3,Africa
Timor-Leste,3,Asia
Bhutan,2,Asia
Chad,2,Africa
Dominica,2,North America
Equatorial Guinea,2,Africa
Liberia,2,Africa
Mauritania,2,Africa
Nauru,2,Oceania
Somalia,2,Africa
Swaziland,2,Africa
Tuvalu,1,Oceania
