name,value,continent
Tajikistan,14.29,Asia
Jordan,12.50,Asia
Kosovo,12.50,Europe
Independent Olympic Athletes,11.11,
Jamaica,10.17,North America
United States,8.36,North America
Ivory Coast,8.33,Africa
Kenya,7.50,Africa
Great Britain & N. Ireland,7.38,Europe
Russia,6.91,Europe
China,6.50,Asia
North Korea,6.45,Asia
Uzbekistan,5.80,Asia
Croatia,5.68,Europe
Hungary,5.13,Europe
Georgia,5.00,Europe
Iran,4.84,Asia
South Korea,4.39,Asia
Cuba,4.35,North America
Vietnam,4.35,Asia
Slovakia,4.08,Europe
Germany,4.04,Europe
Singapore,4.00,Asia
Thailand,3.77,Asia
Indonesia,3.57,Asia
Japan,3.55,Asia
Netherlands,3.35,Europe
Greece,3.19,Europe
Armenia,3.13,Asia
Bahamas,3.13,North America
Switzerland,3.00,Europe
Bahrain,2.86,Asia
Kazakhstan,2.86,Asia
Italy,2.64,Europe
Ethiopia,2.63,Africa
France,2.53,Europe
Puerto Rico,2.38,North America
Spain,2.31,Europe
Colombia,2.04,South America
New Zealand,2.01,Oceania
Fiji,1.96,Oceania
Serbia,1.92,Europe
Australia,1.91,Oceania
Belgium,1.89,Europe
Azerbaijan,1.82,Asia
Chinese Taipei,1.69,Asia
Denmark,1.61,Europe
Slovenia,1.61,Europe
Brazil,1.50,South America
South Africa,1.47,Africa
Argentina,1.40,South America
Sweden,1.30,Europe
Canada,1.29,North America
Romania,1.02,Europe
Ukraine,1.01,Europe
Czech Republic,0.99,Europe
Turkey,0.98,Asia
Belarus,0.83,Europe
Poland,0.82,Europe
Afghanistan,0.00,Asia
Albania,0.00,Europe
Algeria,0.00,Africa
American Samoa,0.00,Oceania
Andorra,0.00,Europe
Angola,0.00,Africa
Antigua & Barbuda,0.00,North America
Aruba,0.00,North America
Austria,0.00,Europe
Bangladesh,0.00,Asia
Barbados,0.00,North America
Belize,0.00,North America
Benin,0.00,Africa
Bermuda,0.00,North America
Bhutan,0.00,Asia
Bolivia,0.00,South America
Bosnia & Herzegovina,0.00,Europe
Botswana,0.00,Africa
British Virgin Islands,0.00,North America
Brunei,0.00,Asia
Bulgaria,0.00,Europe
Burkina Faso,0.00,Africa
Burundi,0.00,Africa
Cambodia,0.00,Asia
Cameroon,0.00,Africa
Cape Verde,0.00,Africa
Cayman Islands,0.00,North America
Central African Republic,0.00,Africa
Chad,0.00,Africa
Chile,0.00,South America
Comoros,0.00,Africa
Congo,0.00,Africa
Cook Islands,0.00,Oceania
Costa Rica,0.00,North America
Cyprus,0.00,Europe
DR Congo,0.00,Africa
Djibouti,0.00,Africa
Dominica,0.00,North America
Dominican Republic,0.00,North America
Ecuador,0.00,South America
Egypt,0.00,Africa
El Salvador,0.00,North America
Equatorial Guinea,0.00,Africa
Eritrea,0.00,Africa
Estonia,0.00,Europe
FYR Macedonia,0.00,Europe
Federated States of Micronesia,0.00,Oceania
Finland,0.00,Europe
Gabon,0.00,Africa
Gambia,0.00,Africa
Ghana,0.00,Africa
Grenada,0.00,North America
Guam,0.00,Oceania
Guatemala,0.00,North America
Guinea,0.00,Africa
Guinea-Bissau,0.00,Africa
Guyana,0.00,South America
Haiti,0.00,North America
Honduras,0.00,North America
Hong Kong,0.00,Asia
Iceland,0.00,Europe
India,0.00,Asia
Iraq,0.00,Asia
Ireland,0.00,Europe
Israel,0.00,Asia
Kiribati,0.00,Oceania
Kyrgyzstan,0.00,Asia
Laos,0.00,Asia
Latvia,0.00,Europe
Lebanon,0.00,Asia
Lesotho,0.00,Africa
Liberia,0.00,Africa
Libya,0.00,Africa
Liechtenstein,0.00,Europe
Lithuania,0.00,Europe
Luxembourg,0.00,Europe
Madagascar,0.00,Africa
Malawi,0.00,Africa
Malaysia,0.00,Asia
Maldives,0.00,Asia
Mali,0.00,Africa
Malta,0.00,Europe
Marshall Islands,0.00,Oceania
Mauritania,0.00,Africa
Mauritius,0.00,Africa
Mexico,0.00,North America
Moldova,0.00,Europe
Monaco,0.00,Europe
Mongolia,0.00,Asia
Montenegro,0.00,Europe
Morocco,0.00,Africa
Mozambique,0.00,Africa
Myanmar,0.00,Asia
Namibia,0.00,Africa
Nauru,0.00,Oceania
