name,value,continent
Fiji,1.17,Oceania
Jamaica,0.74,North America
Kosovo,0.54,Europe
Hungary,0.50,Europe
Slovenia,0.49,Europe
Croatia,0.45,Europe
New Zealand,0.45,Oceania
Switzerland,0.27,Europe
Australia,0.26,Oceania
Puerto Rico,0.25,North America
Netherlands,0.24,Europe
Great Britain & N. Ireland,0.23,Europe
Belgium,0.18,Europe
Denmark,0.18,Europe
Singapore,0.18,Asia
Slovakia,0.18,Europe
Italy,0.12,Europe
South Korea,0.12,Asia
Belarus,0.11,Europe
France,0.11,Europe
Kazakhstan,0.11,Asia
Sweden,0.11,Europe
Czech Republic,0.10,Europe
Germany,0.10,Europe
Cuba,0.09,North America
Greece,0.09,Europe
United States,0.08,North America
Canada,0.06,North America
Russia,0.06,Europe
Spain,0.06,Europe
Japan,0.05,Asia
Romania,0.05,Europe
Chinese Taipei,0.04,Asia
Colombia,0.04,South America
North Korea,0.04,Asia
Uzbekistan,0.04,Asia
Iran,0.03,Asia
Kenya,0.03,Africa
Poland,0.03,Europe
Thailand,0.03,Asia
Argentina,0.02,South America
South Africa,0.02,Africa
China,0.01,Asia
Ethiopia,0.01,Africa
Vietnam,0.01,Asia
Afghanistan,0.00,Asia
Albania,0.00,Europe
Algeria,0.00,Africa
American Samoa,0.00,Oceania
Andorra,0.00,Europe
Angola,0.00,Africa
Antigua & Barbuda,0.00,North America
Armenia,0.00,Asia
Aruba,0.00,North America
Austria,0.00,Europe
Azerbaijan,0.00,Asia
Bahamas,0.00,North America
Bahrain,0.00,Asia
Bangladesh,0.00,Asia
Barbados,0.00,North America
Belize,0.00,North America
Benin,0.00,Africa
Bermuda,0.00,North America
Bhutan,0.00,Asia
Bolivia,0.00,South America
Bosnia & Herzegovina,0.00,Europe
Botswana,0.00,Africa
Brazil,0.00,South America
British Virgin Islands,0.00,North America
Brunei,0.00,Asia
Bulgaria,0.00,Europe
Burkina Faso,0.00,Africa
Burundi,0.00,Africa
Cambodia,0.00,Asia
Cameroon,0.00,Africa
Cape Verde,0.00,Africa
Cayman Islands,0.00,North America
Central African Republic,0.00,Africa
Chad,0.00,Africa
Chile,0.00,South America
Comoros,0.00,Africa
Congo,0.00,Africa
Cook Islands,0.00,Oceania
