name,value,continent
Grenada,9.62,North America
Bahamas,5.85,North America
Jamaica,4.05,North America
New Zealand,4.03,Oceania
Denmark,2.70,Europe
Croatia,2.25,Europe
Slovenia,1.95,Europe
Azerbaijan,1.90,Asia
Bahrain,1.60,Asia
Georgia,1.50,Europe
Hungary,1.49,Europe
Armenia,1.35,Asia
Lithuania,1.34,Europe
Australia,1.26,Oceania
Sweden,1.21,Europe
Fiji,1.17,Oceania
Netherlands,1.12,Europe
Serbia,1.12,Europe
Great Britain & N. Ireland,1.03,Europe
Cuba,0.98,North America
Czech Republic,0.97,Europe
Kazakhstan,0.97,Asia
Belarus,0.95,Europe
Switzerland,0.93,Europe
Norway,0.80,Europe
Estonia,0.75,Europe
Trinidad and Tobago,0.75,North America
Slovakia,0.74,Europe
Canada,0.66,North America
France,0.64,Europe
Mongolia,0.63,Asia
Belgium,0.55,Europe
Greece,0.54,Europe
Kosovo,0.54,Europe
Germany,0.52,Europe
Qatar,0.51,Asia
Ireland,0.47,Europe
Italy,0.46,Europe
Uzbekistan,0.46,Asia
South Korea,0.42,Asia
Bulgaria,0.39,Europe
Russia,0.39,Europe
United States,0.39,North America
Spain,0.36,Europe
Kenya,0.33,Africa
Japan,0.32,Asia
Tunisia,0.29,Africa
North Korea,0.28,Asia
Poland,0.28,Europe
Puerto Rico,0.25,North America
Israel,0.24,Asia
Ukraine,0.24,Europe
Moldova,0.23,Europe
Romania,0.23,Europe
Finland,0.19,Europe
South Africa,0.19,Africa
United Arab Emirates,0.19,Asia
Kyrgyzstan,0.18,Asia
Singapore,0.18,Asia
Colombia,0.17,South America
Malaysia,0.17,Asia
Jordan,0.15,Asia
Chinese Taipei,0.13,Asia
Tajikistan,0.13,Asia
Austria,0.12,Europe
Argentina,0.10,South America
Dominican Republic,0.10,North America
Iran,0.10,Asia
Ivory Coast,0.10,Africa
Portugal,0.10,Europe
Turkey,0.10,Asia
Brazil,0.09,South America
Burundi,0.09,Africa
Ethiopia,0.09,Africa
Thailand,0.09,Asia
Venezuela,0.09,South America
Niger,0.07,Africa
Algeria,0.06,Africa
China,0.05,Asia
Mexico,0.04,North America
Egypt,0.03,Africa
Morocco,0.03,Africa
Vietnam,0.02,Asia
Indonesia,0.01,Asia
Nigeria,0.01,Africa
Philippines,0.01,Asia
Afghanistan,0.00,Asia
Albania,0.00,Europe
American Samoa,0.00,Oceania
Andorra,0.00,Europe
Angola,0.00,Africa
Antigua & Barbuda,0.00,North America
Aruba,0.00,North America
